---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
9057    14k|   0    34k   50k  355k
8523    12k|   0    19k   28k  182k
  11k   30k|   0    22k   21k 7236 
  14k   29k|   0    12k   11k   22k
  12k   22k|   0    32k   29k   20k
  24k   45k|   0   170k  135k  119k
  20k   62k|   0   569k  570k  131k
  20k   55k|   0   487k  517k   47k
  21k   64k|   0   540k  580k   41k
  18k   43k|   0   463k  456k   54k
  16k   40k|   0   341k  364k   16k
  15k   39k|   0   329k  349k 6704 
  17k   50k|   0   308k  331k   12k
  16k   49k|   0   322k  344k 8873 
  18k   52k|   0   421k  448k   14k
  17k   47k|   0   441k  465k 9120 
  13k   34k|   0   326k  347k 8052 
  14k   39k|   0   324k  348k 6581 
  16k   44k|   0   233k  233k   16k
  13k   36k|   0   124k  104k   40k
9468    26k|   0    71k   83k  299k
  10k   28k|   0    73k   88k  315k
9791    25k|   0    95k   89k  325k
8758    24k|   0    70k   86k  316k
  10k   27k|   0   108k  129k  479k
  11k   29k|   0    68k   82k  303k
  11k   29k|   0    64k   78k  292k
  11k   29k|   0    65k   78k  291k
  11k   30k|   0    67k   81k  302k
9537    28k|   0    64k   77k  289k
  14k   47k|   0    67k   83k  307k
  14k   52k|   0    68k   86k  352k
9415    25k|   0    55k   68k  272k
  12k   32k|   0    57k   71k  277k
  12k   29k|   0    48k   61k  263k
  12k   28k|   0  9731    13k  174k
9721    15k|   0    15k   18k  858k
  18k   14k|   0    14k   15k  708k
8065    12k|   0  9025  9451  8539 
7400    12k|   0  4681  5564  6418 
6642  9441 |   0  9702    11k   14k
8329    14k|   0  6860  8155  8483 
  13k   39k|   0  4835  7365  7451 
  15k   37k|   0    18k   20k   20k
  11k   21k|   0    29k   28k   28k
  12k   30k|   0  9524    11k   12k
  11k   30k|   0  5592  7355    10k
  12k   28k|   0  9032    11k 9513 
  16k   42k|   0    55k   57k   40k
  13k   28k|   0    16k   19k   27k
9385    19k|   0  6185  8059  8601 
8314    14k|   0  7068  8187  8111 
7930    12k|   0    13k   14k   51k
8688    13k|   0  7026  8427    10k
9006    16k|   0  7362  8605  8159 
7381    11k|   0  5063  5993  5872 
6063  8104 |   0  4009  4842  4942 
9318    21k|   0  4434  5884  6684 
  13k   32k|   0    31k   33k   21k
9609    20k|   0    14k   17k   17k
8115    13k|   0  7533    11k   11k
6336  8420 |   0  4689  5733  5789 
6280  8051 |   0  4313  5091  4888 
8917    12k|   0  8009  9932    16k
6959    10k|   0  5542  7130  7676 
8200    12k|   0  7807    10k   10k
8939    23k|   0  6496  9120  9188 
  15k   42k|   0    26k   29k   19k
  13k   29k|   0    11k   14k   13k
  10k   21k|   0  4172  5614  7619 
  11k   20k|   0    15k   16k   14k
9159    18k|   0    54k   56k   32k
  14k   27k|   0    30k   32k   30k
  14k   32k|   0    68k   71k   52k
9827    15k|   0  8299    10k   11k
  11k   17k|   0    55k   58k   59k
7623    12k|   0  6263  7386  8635 
7373    10k|   0  7996  9032    15k
  13k   27k|   0    48k   52k   42k
  11k   23k|   0  7388  8540  9844 
  10k   21k|   0    11k   13k 7182 
8937    15k|   0  6598  7730    12k
  12k   30k|   0    16k   21k   23k
  11k   24k|   0    12k   14k   10k
7653    11k|   0    14k   15k   20k
6960    10k|   0  5165  5094  7330 
  10k   27k|   0  8188    11k   14k
  15k   33k|   0  9275  9378    49k
8605    17k|   0  8593  8719  7074 
7006  9958 |   0  4701  5378  6742 
9874    18k|   0    57k   61k   37k
8934    14k|   0  4928  6063  7619 
9848    15k|   0    56k   61k   45k
7835    12k|   0  6702  8145  7397 
  12k   14k|   0    57k   64k   65k
7768    12k|   0  5554  5821  9279 
7332    11k|   0  7006  7829  6747 
8778    14k|   0    44k   48k   51k
7462    11k|   0  4865  5777  5099 
9331    15k|   0    44k   52k   50k
7089    11k|   0  5726  6281  4949 
8787    12k|   0    26k   27k   22k
7179    10k|   0    23k   26k   24k
6703  8128 |   0  5074  5261  6080 
6777  8671 |   0    11k   12k   19k
6580  8806 |   0  5294  5740  5605 
6381  8563 |   0  8912  8756  5816 
9466    14k|   0    47k   49k   53k
6904  9827 |   0  4977  5562  5107 
7003  9105 |   0    37k 6300    12k
  10k   14k|   0    51k   55k   66k
6797  9454 |   0  7475  6909  6570 
6597  8236 |   0  4936  5142  5320 
7546    11k|   0    45k   48k   39k
8300    13k|   0  8818  9765  7704 
8757    13k|   0    44k   48k   47k
6392  8503 |   0  5083  5685  5870 
6783  9653 |   0  6191  5587  5216 
7449    10k|   0  9056  8533    10k
7419    10k|   0    46k   49k   38k
7162    11k|   0  7291  6923  6904 
6319  8629 |   0  1214  1939  1844 
7744    19k|   0  4265  5674  8103 
  12k   28k|   0    11k   10k   15k
  10k   24k|   0  8899  9658    11k
9285    16k|   0  5299  6257  6389 
7776    11k|   0    13k   14k   15k
  11k   21k|   0    20k   19k   17k
6631    10k|   0  5083  6008  7008 
  13k   47k|   0  7304    11k   15k
  14k   22k|   0    54k   57k   58k
  15k   47k|   0  7784    12k   14k
9993    19k|   0  9654    12k   11k
  11k   22k|   0    12k   14k   13k
8680    16k|   0  5039  6197    12k
  14k   45k|   0  7381  9340    13k
  11k   22k|   0    23k   24k   17k
  10k   17k|   0    48k   50k   54k
7043  9996 |   0  4275  5167  4985 
7354    11k|   0  4683  5429  6668 
8113    13k|   0  7938  9100  9253 
9450    16k|   0    50k   53k   59k
7008  9336 |   0  7020  7342    10k
  11k   30k|   0  7037  8724  7452 
8149    13k|   0    12k   12k   13k
  12k   17k|  14    94k   78k   67k
8052  8492 |   0    40k   41k   14k
8479  8926 |   0    35k   34k   69k
  13k   24k|   0    25k   25k   31k
9917    16k|   0    45k   48k   34k
  10k   20k|   0    16k   17k   13k
8646    14k|   0    15k   15k   16k
  11k   18k|   0    90k   91k   84k
  11k   23k|   0  9478    12k 9856 
  16k   33k|   0    23k   25k   19k
  22k   15k|   0    13k   13k   40k
7968    11k|   0    11k   12k   15k
6822  9865 |   0  5012  5812  6797 
6830    10k|   0  4399  5198  9763 
6538    11k|   0  5410  5384  5021 
8491    13k|   0  5426  6024  6432 
9855    12k|   0    12k   10k   28k
8937    16k|   0    32k   26k   23k
  25k   18k|   0   781k  695k  502k
  12k 9550 |   0   107k  107k  256k
  15k   18k|   2   591k  579k  509k
8516    11k|   0    44k   41k   92k
6946  8762 |   0    43k   42k   29k
6658  8074 |   0  4771  4865  6124 
8625  9713 |   0  4280  5042  5540 
6862  8742 |   0    19k   20k   28k
7692    13k|   0  5035  5685  6436 
  11k   28k|   0  6893  7355  6675 
9272    18k|   0  6426  6015  2019 
9840    19k|   0    32k 6652    13k
  11k   24k|   0    18k   20k   17k
9472    17k|   0  6154  7355  9179 
7626    11k|   0  4414  5151  5291 
9852    22k|   0  5964  6384  7632 
8109    14k|   0  3859  4871  4884 
8466    14k|   0  6007  7077    10k
7447    11k|   0  4937  5792  8137 
6858  9179 |   0  5693  6503  4766 
8527    13k|   0  5626  5757    10k
8115    13k|   0  4313  5239  5116 
  11k   23k|   0  6293  7721    11k
7802    11k|   0    12k   14k 7283 
6825  9548 |   0  6392  7289  7567 
8573    16k|   0    11k   11k 6428 
  22k   27k|   0    39k   34k   29k
  11k   20k|   0    18k   16k   14k
  12k   18k|   0    24k   20k   19k
7748    11k|   0  9441    10k   13k
8573    13k|   0  8008  8482    13k
9606    15k|   0  8399  8798    11k
  16k   42k|   0    66k   66k   42k
  13k   31k|   0    44k   45k   33k
  20k   65k|   0    61k   62k   39k
  35k   38k|  35   133k  137k   81k
  21k   22k|   3    50k   51k   56k
  11k   24k|   0    38k   35k   23k
8538    14k|   0  5859  5688  6995 
8281    14k|   0  6459  7216    20k
8541    16k|   0  9896  8438    17k
  13k   40k|   0    32k   29k   22k
8949    14k|   0    12k   13k   20k
9986    15k|   0  6962  7988    25k
9166    15k|   0    21k   24k   23k
8369    14k|   0  5381  6564    11k
7678    12k|   0  4577  5638  9149 
7832    13k|   0    11k   11k   17k
7253  8760 |   0  6812  8029  8854 
7432  9393 |   0  8429  8925    14k
9218    14k|   0    12k   13k   13k
  11k   26k|   0  8402  7760  8265 
9727    17k|   0  6547  8336  9969 
9081    14k|   0    32k   35k   21k
7117  8980 |   0  5944  7913  9810 
8281    11k|   0  7063  8969    10k
  10k   14k|   0    17k   18k   20k
  10k   18k|   0  9199    11k   10k
9825    18k|   0  5108  6041  8976 
8365    15k|   0    13k   14k   13k
8866    16k|   0  7572  8221  9050 
9634    17k|   0  1863  2418  4429 
7928    11k|   0  4844  5456  7644 
6930  8420 |   0  5210  5952  5852 
8128    13k|   0  7550  6892  6605 
7980    12k|   0  4985  5787  8920 
7704    11k|   0    10k   12k 5459 
  10k   19k|   0    10k   12k 8562 
8206    13k|   0  4388  5415  5576 
7700    11k|   0  6937  7435  6385 
7542    10k|   0  3933  4792  5978 
6915  9986 |   0  3894  4719    11k
6631  8497 |   0  4115  4882  5391 
9854    21k|   0  9165  9285  9986 
8156    14k|   0    17k   18k   13k
  12k   28k|   0  8586    10k   13k
7535    11k|   0    45k 8852    24k
6709  8818 |   0  4126  4825  9212 
7793    13k|   0    13k   14k   13k
  12k   30k|   0    11k   13k   10k
9019    19k|   0    12k   13k 7227 
  12k   31k|   0  6441  8329    11k
  11k   32k|   0  6277  7953  8689 
  11k   21k|   0  8060    11k   12k
9823    21k|   0  4284  6236  7728 
7423    11k|   0  4214  5066  5583 
7567    11k|   0  4199  4994  5695 
7509    10k|   0  4706  5033    11k
6361  8396 |   0  4883  5702  9249 
7729    12k|   0  4657  6027  5850 
7822    12k|   0  4440  5329  5749 
7447    11k|   0  4605  5395  6085 
7857    12k|   0  3731  4616  4620 
8019    14k|   0    20k   21k 5002 
  11k   25k|   0  8500    10k 7437 
  12k   22k|   0    17k   20k   14k
  13k   24k|   0    30k   32k   34k
  11k   26k|   0  5099  6838  9325 
  11k   22k|   0  5175  6378  8410 
8688    15k|   0  3930  5512  4840 
7770    12k|   0  7553  8620  7908 
9819    17k|   0    13k   15k   15k
9459    17k|   0    70k   72k   41k
