---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
  11k   17k|   0    56k   66k   94k
  14k   27k|   0   228k  240k   72k
  11k   26k|   0   315k  325k 4277 
  15k   47k|   0   561k  577k   21k
  19k   30k|   0   228k  228k   51k
  16k   48k|   0    31k   36k   47k
  11k   22k|   0    17k   20k  451k
9651    14k|   0    29k   30k  569k
7866  9591 |   0    53k   62k  505k
7920    12k|   0    84k   86k   18k
  13k   31k|   0   354k  366k   22k
  15k   37k|   0   377k  390k   28k
  12k   33k|   0   400k  413k   15k
  14k   35k|   0   410k  423k   20k
  14k   33k|   0    60k   52k   23k
  13k   30k|   0    22k   25k  155k
  11k   24k|   0    19k   22k  485k
8247    13k|   0  6275  7634   163k
9193    12k|   0    27k   35k  904k
8860    12k|   0    27k   34k   20k
8813    16k|   0   149k  152k   19k
  12k   28k|   0   332k  342k 8322 
  13k   32k|   0   452k  468k   33k
  12k   31k|   0   311k  323k   14k
  11k   28k|   0   305k  316k 5633 
  13k   31k|   0   262k  266k   18k
  13k   33k|   0    41k   36k   16k
  17k   53k|   0   187k  167k  240k
  19k   55k|   0   218k  171k  714k
  14k   38k|   0    14k   17k  226k
  13k   29k|   0    38k   36k 1014k
  12k   22k|   0    30k   36k 8043 
  12k   26k|   0    99k  101k   31k
  12k   31k|   0   309k  318k 7954 
  13k   33k|   0   292k  302k 6576 
  12k   32k|   0   310k  322k 7308 
  17k   36k|   0   400k  417k   14k
  12k   34k|   0   365k  378k   12k
  13k   35k|   0   199k  194k 6408 
  12k   33k|   0    29k   23k 4497 
  17k   46k|   0    47k   45k   76k
  23k   71k|   0    49k   54k  562k
9894    22k|   0  9278  8023   362k
8537    11k|   0  4100  5481   339k
7918  8760 |   0    25k   36k  759k
  10k   15k|   0    32k   29k   22k
9358    19k|   0   140k  141k   28k
  13k   35k|   0   311k  321k 6588 
  12k   34k|   0   300k  311k 6628 
  13k   38k|   0   303k  314k 4752 
  11k   31k|   0   288k  298k 4218 
  12k   32k|   0   301k  312k 6937 
  13k   34k|   0   335k  347k   13k
  14k   35k|   0   165k  155k 7921 
  12k   36k|   0    29k   23k 5884 
  13k   36k|   0    12k   13k 5937 
8907    23k|   0  4009  4527   327k
  11k   27k|   0  4844  5657   427k
8824    18k|   0  3756  5016   267k
7727    10k|   0    76k   11k  548k
  11k   17k|   0    30k   45k  651k
9456    15k|   0    14k   15k 8743 
9222    16k|   0   105k  107k   31k
  12k   33k|   0   290k  300k 4574 
  13k   37k|   0   293k  303k 5077 
  14k   39k|   0   295k  306k 5236 
  15k   40k|   0   325k  338k   18k
  12k   35k|   0   521k  536k   20k
  13k   36k|   0   379k  393k 6916 
  14k   38k|   0   142k  128k 6574 
  12k   35k|   0    24k   20k 6831 
  11k   31k|   0    13k   13k 5371 
9334    25k|   0  4196  4925   259k
8436    22k|   0  9430    10k  421k
8211    21k|   0  3830  4556   389k
7252  9981 |   0  4295  5140   148k
8045  9296 |   0  6870  7818   970k
9436  9698 |   0    48k   67k  240k
7393  8549 |   0    11k   11k 4838 
9811    24k|   0   200k  203k   26k
  13k   35k|   0   307k  317k 5216 
  12k   34k|   0   340k  351k   12k
  12k   33k|   0   297k  307k   11k
  11k   32k|   0   282k  293k 4262 
  12k   33k|   0   289k  301k 7307 
  12k   34k|   0   305k  316k 6690 
  12k   34k|   0   284k  294k 4579 
  14k   36k|   0   193k  178k 9276 
  11k   33k|   0    50k   38k 5459 
  11k   32k|   0    16k   16k 5782 
  11k   30k|   0  4097  4608    77k
8527    24k|   0  6337  5354   425k
  17k   47k|   0  6872  7315   470k
  11k   21k|   0  4523  5075   229k
9814    16k|   0  5811  7464   415k
9565    16k|   0    25k   29k  921k
  12k   24k|   0    21k   34k   69k
  11k   22k|   0    17k   18k   13k
9655    20k|   0   145k  148k   26k
  13k   35k|   0   284k  293k 4458 
  12k   34k|   0   280k  290k 4479 
  15k   43k|   0   294k  305k 4999 
  16k   45k|   0   324k  336k 5567 
  12k   35k|   0   290k  301k 4888 
  12k   35k|   0   301k  313k 4395 
  12k   35k|   0   296k  307k 4527 
  13k   35k|   0   295k  306k 9888 
  13k   34k|   0   139k  123k 4578 
  12k   35k|   0    46k   35k 4799 
  11k   35k|   0    15k   16k 5105 
  11k   32k|   0  4011  4728    26k
9156    25k|   0  6122  6524   393k
9594    24k|   0    11k   16k  433k
8791    24k|   0  6849  4767   381k
7517    10k|   0  4518  6278    81k
6917  7853 |   0  4124  5237   789k
7258  8639 |   0  5265  5744   677k
  14k   35k|   0    17k   11k 9696 
8419    15k|   0  4957  6018  8569 
9673    22k|   0  4757  5934  5769 
  12k   24k|   0    36k   31k   24k
  10k   21k|   0  8318  9245    11k
8242    13k|   0   563  1391  1155 
8783    16k|   0  3804  4788  4916 
6913    10k|   0  3930  4708  4444 
  11k   32k|   0    99k   86k   75k
  13k   27k|   0    34k   23k   19k
  14k   33k|   0    34k   38k   38k
9819    17k|   0    22k   27k   38k
  17k   39k|   0    63k   67k   52k
  11k   26k|   0  9482    12k   16k
  10k   22k|   0  7981  9887  8063 
6944  9930 |   0  5971  6659  7251 
7297    11k|   0  8183    11k   10k
  10k   21k|   0    15k   17k   19k
  18k   31k|   0    11k   14k   13k
 260  1057 |   0    31k   40k   34k
  15k   42k|   0    58k   59k   48k
7261    11k|   0  6006  7036  7220 
6876  9462 |   0  4184  4873  4756 
4905  8431 |   0  3159  3461  3372 
6336  9977 |   0  6036  7556  7444 
8471    13k|   0  6743  7461    20k
5971  9587 |   0  7108  8448  8579 
7684    12k|   0  5151  6285  6135 
7952    12k|   0  6254  7528  7295 
8338    13k|   0  7350  8863  8367 
8846    14k|   0    11k   12k   11k
6791  9353 |   0  5009  6082  6349 
8522    14k|   0    14k   17k   17k
7890    13k|   0  5807  7141  6884 
8654    19k|   0  4292  5523  7864 
7430    12k|   0  4030  4840  6783 
7633    11k|   0  5646  6607  6504 
6936    10k|   0  4980  6890  6851 
8591    14k|   0  7734  8502  9227 
6970    10k|   0  6825  6893  6784 
8149    13k|   0    15k   12k 6795 
  10k   19k|   0  9200    11k   14k
  12k   40k|   0  9954    11k 8889 
  11k   23k|   0    20k   21k   12k
  13k   35k|   0   214k  222k   31k
  20k   55k|   0   223k  241k  329k
  14k   28k|   0   118k  125k  124k
  11k   23k|   0   401k  422k   16k
  11k   20k|   0   212k  228k  170k
  11k   21k|   0    79k   95k  350k
  17k   38k|   0   123k  133k  402k
  42k   87k|   0   207k  222k  132k
1010  2300 |   0   156k  192k  737k missed 4 ticks
3882  6096 |   0    63k   79k  338k
9771    13k|   0    29k   33k  392k
  11k   12k|   0    12k   11k   34k
  10k   23k|   0   321k  339k   13k
  11k   22k|   0   373k  395k 6744 
  11k   21k|   0   401k  426k 5419 
9768    19k|   0   246k  257k   81k
  11k   21k|   0    78k   94k  359k
  11k   19k|   0    73k   90k  346k
1180  1973 |   0    61k   79k  365k
  34k   75k|   0   221k  234k  120k
1183  2803 |   0   821k  869k 8571  missed 4 ticks
  10k   28k|   0   536k  565k   33k
8449    19k|   0    78k   88k  279k
7772    16k|   0    77k   93k  359k
3951  6932 |   0    75k   91k  359k
  11k   19k|   0   126k  146k  397k
  11k   18k|   0    64k   79k  325k
  14k   18k|   0    68k   73k  633k
  10k   15k|   0  9205    10k 6948 
9780    12k|   0    61k   65k   31k
  15k   38k|   0   464k  494k   26k
  15k   38k|   0   357k  379k 5963 
  15k   44k|   0   381k  405k 6599 
  12k   27k|   0   472k  501k   32k
  12k   26k|   0   315k  329k 7150 
  14k   24k|   0   135k  147k  365k
  10k   18k|   0    68k   84k  313k
  11k   20k|   0   113k  132k  379k
  14k   22k|   0    72k   88k  327k
  13k   21k|   0   112k  132k  375k
  12k   20k|   0    48k   60k  262k
  14k   16k|   0    60k   68k  739k
9861    11k|   0    15k   16k   11k
9493    10k|   0  5478  6072  4764 
  10k   15k|   0   120k  127k   16k
  17k   47k|   0   434k  460k 9532 
  13k   28k|   0   362k  384k   11k
  21k   48k|   0   374k  397k 4679 
5420    15k|   0   398k  425k   14k
  17k   37k|   0   376k  401k   16k
  16k   33k|   0   257k  264k 8052 
  11k   25k|   0    74k   83k  257k
  11k   24k|   0    70k   86k  318k
  12k   26k|   0    67k   82k  305k
  16k   34k|   0    98k  116k  419k
  45k   96k|   0    42k   51k  310k
1414  2920 |   0  2898  5646  3388  missed 4 ticks
7232    10k|   0  9129  9682  5663 
  16k   51k|   0   374k  396k   19k
 384  1613 |   0   797k  845k 9279 
  28k   88k|   0   399k  424k 8660 
  12k   33k|   0   378k  403k 7043 
3447  9142 |   0   395k  422k 2781 
  17k   64k|   0   440k  468k 7497 
  15k   41k|   0   369k  395k 9974 
  20k   70k|   0   280k  274k   26k
  16k   35k|   0   157k  122k  446k
  13k   28k|   0    81k   96k  336k
9750    20k|   0    77k   92k  323k
9324    19k|   0    69k   84k  313k
9616    18k|   0    72k   87k  330k
  15k   27k|   0   101k  119k  410k
  22k   61k|   0    77k   91k  432k
3717  6315 |   0    19k   22k 1441k
  20k   47k|   1    95k  107k  250k
  24k   14k|   0    64k   62k   74k
  13k   30k|   0    93k   97k   36k
  11k   27k|   0   501k  529k   12k
  12k   29k|   0   413k  439k 8204 
  12k   27k|   0   392k  415k   12k
  14k   34k|   0   413k  441k   24k
  14k   40k|   0   362k  386k 7146 
  17k   47k|   0   350k  373k 9821 
  23k   63k|   0   497k  513k   71k
  14k   34k|   0    93k   96k  216k
  10k   23k|   0    73k   89k  328k
  11k   25k|   0    80k   97k  330k
  21k   40k|   0   165k  185k  506k
  15k   41k|   0   105k  116k  392k
  16k   45k|   1   130k  144k  426k
  23k   42k|   0   129k  155k  503k
  11k   25k|   0    56k   62k  259k
7791  8992 |   0  7903  8903   577k
9854    13k|   0    53k   63k  473k
  11k   16k|   0    11k   12k 7159 
3665  4421 |   0    12k   13k   17k
8359    11k|   0    42k   42k   15k
  13k   30k|   0   330k  351k   34k
  13k   30k|   0   357k  380k 6949 
  16k   41k|   0   344k  369k   11k
  14k   35k|   0   333k  355k 6781 
  16k   40k|   0   420k  445k   36k
  14k   34k|   0   355k  378k 6182 
  13k   30k|   0   369k  393k   21k
  15k   40k|   0   343k  365k 6593 
  15k   39k|   0   324k  344k 6663 
  14k   39k|   0   136k  123k   44k
  13k   38k|   0    75k   87k  301k
  22k   59k|   0   107k  133k  408k
  18k   67k|   0    99k  117k  396k
8884    22k|   0   123k  143k  403k
  11k   23k|   0    64k   79k  306k
  13k   29k|   0   131k  149k  396k
  12k   28k|   0    78k   96k  336k
  11k   23k|   0    74k   91k  364k
9738    21k|   0    53k   66k  277k
  12k   19k|   0    57k   61k  470k
  10k   14k|   0    33k   44k  729k
  12k   16k|   0    64k   69k   66k
9742    13k|   0  5748  6724  5928 
  10k   14k|   0    48k   52k   50k
  11k   19k|   0   134k  140k   26k
  17k   50k|   0   384k  413k   13k
  18k   38k|   0   371k  391k   15k
  14k   33k|   0   347k  368k 7827 
  15k   32k|   0   345k  369k 9372 
  16k   35k|   0   332k  352k   14k
  15k   33k|   0   412k  395k   20k
  17k   34k|   0   364k  387k   32k
  19k   54k|   0   352k  377k   10k
  19k   51k|   0   367k  392k 8783 
  21k   55k|   0   190k  184k   48k
3965  8648 |   0    71k   86k  325k
  12k   30k|   0   143k  164k  398k
  11k   23k|   0    66k   80k  299k
  13k   29k|   0   124k  145k  406k
  10k   23k|   0    73k   92k  332k
  12k   24k|   0   100k  119k  441k
  10k   23k|   0   111k  129k  398k
  12k   26k|   0   125k  146k  436k
  11k   24k|   0    63k   78k  325k
9879    22k|   0    58k   72k  291k
9749    16k|   0    22k   28k  155k
9664    13k|   0  4814  6915   864k
9606    12k|   0    40k   51k  348k
9521    12k|   0    15k   15k 6571 
  13k   19k|   0    59k   62k   63k
  10k   14k|   0    21k   23k 7482 
  17k   24k|   0   190k  181k   69k
  18k   39k|   0   347k  372k   25k
  16k   36k|   0   404k  431k   22k
  13k   32k|   0   325k  347k 6417 
  17k   41k|   0   388k  415k   26k
  17k   50k|   0   330k  353k 8993 
  18k   40k|   0   351k  375k   32k
  13k   35k|   0   348k  371k 6256 
  12k   30k|   0   352k  376k 8800 
  13k   32k|   0   345k  366k 9162 
  14k   32k|   0   375k  399k   15k
  12k   31k|   0   234k  233k 6403 
  10k   26k|   0   104k   95k  120k
8360    20k|   0    66k   80k  302k
8452    20k|   0    66k   81k  304k
  13k   44k|   0    97k  113k  358k
  12k   37k|   0    65k   80k  294k
  11k   31k|   0    62k   77k  294k
  10k   28k|   0   133k  153k  383k
9377    23k|   0    65k   79k  298k
  10k   25k|   0   118k  137k  372k
9233    23k|   0    65k   80k  303k
9004    22k|   0    86k  100k  318k
  12k   23k|   0    87k  102k  356k
  11k   20k|   0    41k   52k  209k
  11k   15k|   0    52k   55k  707k
9863    14k|   0    51k   64k  716k
  11k   17k|   0    24k   32k   24k
  12k   24k|   0    34k   67k   51k
  14k   39k|   0   210k  222k   88k
  17k   51k|   0   761k  808k   58k
  14k   41k|   0   775k  823k   22k
  15k   43k|   0   814k  864k   26k
  19k   46k|   0   830k  876k   72k
  17k   52k|   0   824k  874k   46k
  17k   51k|   0   287k  293k   16k
  14k   35k|   0    85k   93k  255k
  11k   31k|   0    69k   84k  306k
  11k   28k|   0    69k   82k  306k
  14k   34k|   0   131k  149k  402k
9682    24k|   0    71k   86k  320k
  12k   28k|   0   120k  139k  415k
  10k   26k|   0    70k   87k  320k
9396    24k|   0    74k   89k  338k
  12k   28k|   0    84k  100k  363k
9283    24k|   0    67k   82k  307k
  11k   28k|   0   130k  151k  422k
  13k   35k|   0    68k   85k  371k
  13k   31k|   0    26k   34k  148k
9509    15k|   0  6491  8042   757k
9059    12k|   0    52k   67k  730k
  10k   19k|   0    13k   18k   13k
  11k   14k|   0  9174    10k   11k
8247    11k|   0  6191  7026  9092 
9766    16k|   0    12k   13k   11k
  11k   22k|   0    61k   63k   23k
  15k   39k|   0   313k  332k   13k
  14k   37k|   0   365k  389k 9042 
  23k   62k|   0   543k  573k   58k
  16k   41k|   0   352k  382k 9176 
  14k   34k|   0   382k  404k   13k
  16k   42k|   0   519k  551k   55k
  15k   37k|   0   317k  339k 7853 
  14k   38k|   0   402k  428k   44k
  15k   36k|   0   330k  352k   11k
  17k   51k|   0   317k  340k 6250 
  16k   41k|   0   317k  339k 6003 
  15k   42k|   0   370k  393k   12k
  14k   39k|   0   139k  118k 7219 
  16k   38k|   0   120k  115k  231k
  11k   31k|   0    67k   81k  302k
  18k   50k|   0   139k  159k  446k
  13k   36k|   0    64k   78k  292k
  12k   33k|   0    67k   81k  304k
  14k   45k|   0    76k   93k  321k
  14k   36k|   0   126k  145k  390k
  10k   27k|   0    64k   78k  294k
  13k   32k|   0   119k  136k  392k
  12k   36k|   0    70k   84k  304k
  11k   31k|   0    62k   77k  297k
9647    25k|   0    57k   70k  288k
8125    22k|   0    55k   68k  283k
7980    23k|   0    57k   69k  277k
9395    21k|   0    26k   34k  157k
8645    12k|   0    11k   13k  482k
  10k   16k|   0    23k   26k 1058k
8319    11k|   0    28k   41k   50k
8766    14k|   0    13k   13k 6060 
  13k   35k|   0    17k   16k   15k
  14k   27k|   0    26k   23k   21k
  14k   23k|   0    26k   23k   44k
  28k   70k|   0   526k  482k  213k
  19k   52k|   0   421k  448k   31k
  20k   57k|   0   494k  523k   43k
  20k   52k|   0   507k  538k   47k
  16k   42k|   0   385k  381k   28k
  15k   38k|   0   348k  370k   16k
  15k   40k|   0   318k  337k 9806 
  17k   49k|   0   314k  336k 9698 
  18k   55k|   0   413k  444k   15k
  18k   52k|   0   355k  371k 7244 
  15k   40k|   0   421k  448k 8164 
  13k   34k|   0   319k  341k 8033 
  15k   43k|   0   333k  356k   12k
  15k   41k|   0   157k  140k   10k
  12k   32k|   0   105k   98k  145k
9346    25k|   0    68k   82k  303k
  10k   27k|   0    72k   86k  315k
9419    24k|   0    98k   92k  331k
9431    25k|   0    70k   83k  311k
9873    27k|   0   106k  128k  475k
  11k   29k|   0    69k   84k  313k
  12k   32k|   0    63k   76k  283k
  11k   30k|   0    67k   81k  301k
  10k   31k|   0    65k   79k  295k
  10k   33k|   0    67k   82k  304k
  14k   51k|   0    63k   79k  301k
  12k   39k|   0    65k   82k  337k
  10k   26k|   0    58k   71k  277k
  12k   33k|   0    54k   67k  271k
  11k   22k|   0    34k   44k  197k
  13k   30k|   0    13k   16k  341k
  20k   17k|   0    12k   13k 1357k
6555  9265 |   0    11k   12k   12k
8504    13k|   0  9476  9940  6191 
6921    10k|   0  4599  5535  6621 
7272    12k|   0  8816  9969    16k
9324    18k|   0  4472  5845  5703 
  14k   41k|   0  6827  9629    14k
  14k   32k|   0    26k   27k   22k
  11k   28k|   0    21k   21k   23k
  11k   24k|   0  7493  8940  8724 
  12k   32k|   0  5432  7330    10k
  13k   30k|   0    23k   24k   16k
  16k   40k|   0    46k   49k   43k
  12k   27k|   0    11k   14k   19k
8855    16k|   0  7185  8707  9149 
7813    12k|   0  6192  7263  7043 
7951    12k|   0    13k   14k   50k
9069    15k|   0  7167  8750    11k
8241    13k|   0  6456  7438  7330 
7160    11k|   0  4753  5627  5376 
7970    17k|   0  4470  5863  5916 
