---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
  12k   24k|   0    22k   40k  372k
  12k   25k|   0    18k   28k  190k
7886    10k|   0    45k   46k   18k
  13k   34k|   0   282k  291k   20k
  13k   35k|   0   279k  289k 4509 
  13k   36k|   0   278k  288k 4442 
  16k   47k|   0   339k  351k 2254 
  14k   40k|   0   286k  297k 5497 
  12k   35k|   0   291k  303k 4290 
  12k   34k|   0   307k  318k 4619 
  13k   34k|   0   295k  306k 4646 
  13k   35k|   0   213k  210k 9457 
  12k   35k|   0    81k   60k 5026 
  11k   35k|   0  9092  9043  4931 
  12k   34k|   0    12k   13k 5376 
9901    27k|   0  5501  5896   250k
9502    25k|   0  6242    13k  440k
9168    25k|   0    12k 8528   395k
8125    16k|   0  4640  6391   203k
6891  7719 |   0  3787  4798   451k
7409  8615 |   0  5291  6053  1033k
  12k   29k|   0    15k   10k 7867 
9691    19k|   0  6880  7321    11k
9511    22k|   0  3731  5104  4990 
  12k   23k|   0    35k   30k   23k
  10k   21k|   0  9299    10k   13k
7863    13k|   0  4238  5006  4496 
8362    14k|   0  3754  4591  4417 
8285    14k|   0  4108  5116  5033 
9178    26k|   0  6375  7570    11k
  10k   18k|   0   119k   91k   75k
  17k   41k|   0    28k   33k   31k
  11k   20k|   0    28k   33k   34k
  15k   32k|   0    60k   64k   63k
  14k   35k|   0    20k   23k   25k
9549    21k|   0  8312    10k 8435 
7823    12k|   0  5231  6115  6907 
7015  9771 |   0  7435  9134  8723 
8892    18k|   0  7845    10k   11k
9187    16k|   0    15k   17k   16k
  13k   24k|   0    12k   16k   16k
  10k   31k|   0    94k   95k   62k
9338    19k|   0  7054  8448    16k
6687  8933 |   0  5195  5923  6200 
7693    12k|   0  2524  2962  2948 
3396  5122 |   0    10k   12k   13k
  11k   18k|   0  5559  6400    16k
3042  4889 |   0    14k   16k   16k
7612    12k|   0  5186  6393  6314 
7915    13k|   0  5867  7085  6740 
8103    13k|   0  6583  8031  7747 
8717    14k|   0    12k   13k   10k
7238    10k|   0  4922  5810  6941 
7701    12k|   0  7538  9544  9831 
8319    13k|   0    12k   13k   14k
7890    16k|   0  5517  6940  8822 
8671    16k|   0  4184  5270  3159 
7383    11k|   0  1997  2812  6648 
6624  8761 |   0  4367  5223  5256 
8177    14k|   0  6052  8630  9328 
7305    11k|   0  7198  7299  7411 
7609    11k|   0    10k 9315  7842 
9866    19k|   0    12k   12k 8058 
  12k   40k|   0    12k   13k   15k
  12k   25k|   0    20k   21k   11k
  12k   34k|   0    63k   63k   32k
  15k   42k|   0   337k  354k  131k
  17k   36k|   0    66k   77k  316k
