---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
  12k   22k|   0    30k   36k 8048 
  12k   24k|   0    64k   68k   19k
  12k   31k|   0   309k  318k 7955 
  13k   33k|   0   292k  302k 6575 
  12k   32k|   0   310k  322k 7308 
  17k   36k|   0   400k  417k   14k
  12k   34k|   0   365k  378k   12k
  13k   35k|   0   200k  194k 6416 
  12k   33k|   0    30k   23k 4498 
  17k   46k|   0    47k   45k   75k
  23k   71k|   0    49k   54k  562k
9882    22k|   0  9264  8006   363k
8547    11k|   0  4114  5498   339k
7919  8773 |   0    25k   36k  760k
  10k   15k|   0    32k   29k   22k
9338    19k|   0   140k  140k   28k
  13k   35k|   0   311k  321k 6589 
  12k   34k|   0   300k  311k 6628 
  13k   38k|   0   303k  314k 4753 
  11k   31k|   0   288k  298k 4217 
  12k   32k|   0   301k  312k 6938 
  13k   34k|   0   335k  347k   13k
  14k   35k|   0   166k  155k 7920 
  12k   35k|   0    29k   23k 5883 
  13k   36k|   0    12k   13k 5836 
8909    23k|   0  4008  4526   326k
  11k   27k|   0  4831  5643   427k
8825    18k|   0  3770  5031   268k
7728    10k|   0    76k   11k  548k
  11k   17k|   0    30k   45k  651k
9460    15k|   0    14k   15k 8743 
9211    16k|   0   104k  107k   31k
  12k   33k|   0   290k  300k 4576 
  13k   37k|   0   293k  303k 5076 
  14k   39k|   0   295k  306k 5236 
  15k   40k|   0   325k  338k   18k
  12k   35k|   0   521k  535k   20k
  13k   36k|   0   380k  394k 6915 
  14k   38k|   0   143k  128k 6575 
  12k   34k|   0    24k   20k 6829 
  11k   31k|   0    13k   13k 5371 
9339    25k|   0  4184  4912   259k
8434    22k|   0  9442    10k  421k
8206    21k|   0  3830  4556   390k
7256    10k|   0  4284  5130   148k
8046  9295 |   0  6882  7814   968k
9433  9693 |   0    48k   67k  242k
7395  8535 |   0    11k   11k 4838 
9810    24k|   0   200k  202k   26k
  13k   35k|   0   307k  317k 5216 
  12k   34k|   0   340k  351k   12k
  12k   33k|   0   296k  307k   11k
  12k   33k|   0   283k  293k 4261 
  12k   33k|   0   289k  300k 7308 
  12k   34k|   0   305k  316k 6689 
  12k   34k|   0   284k  294k 4580 
  14k   36k|   0   193k  179k 9274 
  11k   33k|   0    50k   38k 5459 
  11k   32k|   0    16k   16k 5781 
  11k   30k|   0  4094  4605    76k
