---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
9648    12k|   0    31k   43k  184k
8990    12k|   0    24k   28k   99k
  12k   32k|   0   285k  292k   27k
  12k   33k|   0   304k  314k 6047 
  14k   40k|   0   309k  320k 5831 
  12k   32k|   0   288k  299k 4199 
  12k   32k|   0   299k  310k 6162 
  11k   31k|   0   295k  306k 4979 
  14k   36k|   0   306k  313k   16k
  14k   38k|   0    74k   58k 6677 
  12k   36k|   0    15k   15k 5377 
  11k   28k|   0  4840  5395   129k
8263    21k|   0  3926  4553   416k
  11k   27k|   0  4801  5629   387k
7866    12k|   0  3557  4881   146k
9973    15k|   0    95k   28k 1142k
9913    16k|   0    16k   32k 7553 
8275    12k|   0  9877    11k 6314 
  11k   28k|   0   245k  252k   31k
  12k   33k|   0   286k  296k 4417 
  15k   41k|   0   298k  309k 5858 
  13k   37k|   0   288k  299k 4330 
  14k   39k|   0   338k  351k   19k
  12k   34k|   0   587k  603k   20k
  14k   38k|   0   261k  265k 8330 
  13k   36k|   0    70k   54k 8483 
  11k   33k|   0    12k   13k 6177 
  10k   29k|   0  6592  7266    48k
8543    23k|   0  9494    10k  430k
8160    21k|   0  4361  5077   417k
8282    17k|   0  3762  4465   224k
7431  8795 |   0  6338  7147   474k
9758    10k|   0    42k   62k  834k
7399  8354 |   0    16k   15k 6420 
7777    12k|   0    59k   56k   16k
  12k   33k|   0   282k  291k   15k
  13k   35k|   0   308k  318k 5791 
  12k   34k|   0   343k  355k   11k
  12k   33k|   0   294k  304k   11k
  12k   33k|   0   289k  300k 4628 
  12k   34k|   0   281k  292k 6944 
  12k   34k|   0   304k  315k 6736 
  12k   34k|   0   269k  276k 4836 
  13k   35k|   0   113k   86k 8897 
  11k   33k|   0    15k   13k 6754 
  11k   32k|   0    12k   13k 5243 
9138    25k|   0  4387  4882   279k
  13k   41k|   0  8613  7284   494k
  15k   34k|   0  5018  5501   373k
9093    15k|   0  5378  6698    96k
8727    13k|   0  5277  7074   831k
  12k   23k|   0    32k   48k  522k
  12k   25k|   0    13k   14k 7528 
8155    11k|   0    27k   28k   15k
  12k   32k|   0   269k  276k   24k
  12k   35k|   0   278k  288k 4267 
  12k   36k|   0   280k  291k 4504 
  16k   48k|   0   341k  354k 5686 
  14k   39k|   0   291k  302k 5490 
  13k   35k|   0   286k  298k 4297 
  12k   34k|   0   307k  318k 4529 
  12k   35k|   0   286k  298k 4319 
  13k   35k|   0   245k  246k 9889 
  13k   35k|   0    90k   67k 5013 
  11k   35k|   0    10k 9553  4836 
  12k   34k|   0    14k   14k 5265 
  10k   28k|   0  3948  4496   200k
9039    25k|   0  5794  6372   420k
9602    25k|   0    13k   16k  415k
8489    18k|   0  5603  6594   254k
6952  7683 |   0  3748  4704   372k
7382  8447 |   0  5164  5962  1111k
  11k   23k|   0    15k 9838  7602 
  11k   24k|   0  6902  7495    11k
9644    23k|   0  3869  5240  5073 
  11k   21k|   0    29k   24k   18k
  11k   21k|   0    14k   15k   17k
8112    14k|   0  6134  6765  5627 
8553    14k|   0  3835  4637  4408 
8616    15k|   0  3846  4871  4984 
8175    23k|   0  4500  5635  5544 
  11k   22k|   0   122k   94k   80k
  16k   37k|   0    22k   28k   26k
  12k   23k|   0    29k   33k   34k
  13k   25k|   0    45k   50k   55k
  16k   43k|   0    38k   41k   33k
9891    22k|   0  9484    12k   13k
7806    12k|   0  4311  5200  5254 
6804  9449 |   0  7167  8371  8712 
7690    12k|   0  7610  9913  9566 
  11k   22k|   0    16k   19k   19k
