---system-- -----virtual-memory----
 int   csw |majpf minpf alloc  free
7556  8422 |   0    19k   32k 7713 
8008  9742 |   0    13k   20k 6546 
8268    12k|   0  7852  9904  8118 
  12k   32k|   0   270k  294k   27k
  13k   35k|   0   288k  320k 5233 
  13k   35k|   0   291k  323k 6685 
  11k   30k|   0   284k  316k 4333 
  12k   32k|   0   286k  318k 4560 
  14k   35k|   0   377k  423k   19k
  12k   33k|   0   305k  337k   11k
  11k   30k|   0   127k  123k 4375 
  12k   29k|   0   334k  332k 4480 
  14k   34k|   0   500k  501k 9223 
  12k   30k|   0   378k  378k 5839 
  14k   32k|   0   373k  375k 8979 
  13k   30k|   0   373k  373k 4423 
  13k   32k|   0   378k  380k 9598 
  12k   30k|   0   422k  423k 7784 
  12k   29k|   0   381k  381k 4170 
  13k   32k|   0   396k  398k 9641 
  12k   30k|   0   388k  388k 4188 
  12k   30k|   0   354k  355k 4611 
  12k   32k|   0   449k  447k   14k
  12k   30k|   0   273k  274k 6208 
  12k   29k|   0   203k  216k  468k
  12k   29k|   0    44k   94k 1899k
  16k   52k|   0    47k   88k 1567k
  11k   28k|   0    34k   71k 1550k
  11k   23k|   0    64k   88k 1135k
8829    14k|   0  4790  6948   558k
8688    12k|   0    31k   44k  689k
  11k   20k|   0    12k   14k 7966 
8542  9654 |   0    12k   13k 9146 
7602  9881 |   0    11k   11k   11k
  12k   34k|   0   308k  338k   30k
  13k   36k|   0   277k  310k 6828 
  14k   36k|   0   310k  341k   13k
  12k   32k|   0   285k  317k 5227 
  13k   35k|   0   285k  317k 6160 
  12k   33k|   0   344k  382k   14k
  12k   33k|   0   281k  313k 6799 
  12k   32k|   0   254k  278k   23k
  12k   32k|   0   160k  151k 5140 
  14k   36k|   0   439k  440k   12k
  13k   34k|   0   382k  383k 6677 
  15k   37k|   0   442k  443k   31k
  14k   35k|   0   374k  375k   11k
  13k   33k|   0   362k  362k   13k
  13k   32k|   0   369k  370k 5726 
  12k   31k|   0   375k  376k 4979 
  14k   35k|   0   411k  414k   19k
  13k   31k|   0   375k  376k 5407 
  13k   34k|   0   561k  562k   11k
  13k   33k|   0   376k  377k 7716 
  14k   34k|   0   284k  285k 8735 
  12k   31k|   0   276k  277k 3193 
  14k   35k|   0   278k  280k   13k
  15k   44k|   0   232k  243k  363k
  13k   32k|   0   110k  147k 1463k
  10k   27k|   0    47k   84k 1401k
  11k   27k|   0    44k   81k 1465k
9380    24k|   0    19k   56k 1468k
9132    18k|   0    15k   43k 1072k
9128    13k|   0  7436  9792   703k
8115  9921 |   0    30k   45k  610k
8423    11k|   0    13k   15k 8275 
7351  8168 |   0  7025  7860  5293 
9588    14k|   0    30k   32k   24k
  11k   23k|   0   155k  166k   42k
  14k   39k|   0   285k  317k   15k
  15k   40k|   0   290k  323k   15k
  13k   36k|   0   276k  307k 7894 
  13k   36k|   0   282k  314k   10k
  13k   35k|   0   308k  343k   11k
  15k   39k|   0   288k  322k   21k
  12k   34k|   0   288k  321k 4377 
  13k   35k|   0   292k  326k 7300 
  14k   38k|   0   170k  165k   22k
  12k   32k|   0   299k  296k 5856 
  14k   35k|   0   367k  369k 9783 
  14k   36k|   0   403k  405k   18k
  13k   34k|   0   374k  376k   10k
  14k   37k|   0   595k  596k   25k
  12k   31k|   0   373k  374k 4827 
  15k   37k|   0   379k  382k   13k
  13k   33k|   0   383k  384k 6460 
  13k   32k|   0   394k  395k 5897 
  13k   33k|   0   391k  392k 5549 
  13k   32k|   0   385k  385k 4831 
  13k   33k|   0   390k  391k 6139 
  18k   44k|   0   371k  375k   22k
  14k   34k|   0   354k  360k   17k
  15k   37k|   0   327k  325k   25k
  13k   33k|   0   274k  275k   27k
  11k   28k|   0    74k  102k 1136k
9830    26k|   0    41k   76k 1337k
  13k   31k|   0    70k  121k 2267k
  11k   29k|   0    34k   80k 2131k
9314    26k|   0  8039    43k 1336k
7232  9178 |   0  5608    10k  255k
7185  8523 |   0  4225  5379   936k
7755  9105 |   0    45k   61k  413k
7046  7982 |   0  5781  6354  4482 
7621  9609 |   0  9799    11k 7664 
7287  8353 |   0  7185  7688  7107 
  10k   26k|   0   227k  246k   31k
  12k   36k|   0   293k  323k   19k
  12k   36k|   0   279k  309k   12k
  13k   36k|   0   273k  305k 5906 
  14k   38k|   0   275k  308k 4462 
  12k   36k|   0   291k  324k 7648 
  15k   43k|   0   292k  327k   19k
  13k   37k|   0   294k  328k   12k
  13k   36k|   0   279k  311k 9831 
